Food Name,Food Group,Food Sub Group,Per Serving ,Energy (kcal),Protein (g),Total Fat (g),Carbo (g)
"Veal, forequarter, simmered, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Cup (190g),329.23,67.83,6.08,0
"Veal, leg, baked, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Slice (45g),64.1,14.22,0.72,0
"Veal, loin chop, grilled, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (85g),136.93,24.82,4.08,0
"Veal, shank, simmered, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (225g),329.11,69.3,5.4,0
Buttermilk,MILK AND MILK PRODUCTS,Milks,Cup (258g),149.36,10.84,5.16,13.93
"Cheese spread, cream cheese",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (24g),83.43,2.66,7.92,0.67
"Cheese spread,cheddar",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (24g),69.59,3.82,5.93,0.41
"Cheese, Neufchatel",MILK AND MILK PRODUCTS,Cheeses,Slice (22g),70.42,2.07,6.8,0.48
"Cheese, blue vein, commercial",MILK AND MILK PRODUCTS,Cheeses,Wedge/Chunk (22g),81.26,4.47,7.13,0
"Cheese, brie",MILK AND MILK PRODUCTS,Cheeses,Wedge/Chunk (20g),67.21,3.86,5.82,0.02
"Cheese, camembert",MILK AND MILK PRODUCTS,Cheeses,Wedge/Chunk (20g),60.29,3.9,5,0.02
"Cheese, cheddar",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),64.08,4.14,5.33,0
"Cheese, cheddar, processed",MILK AND MILK PRODUCTS,Cheeses,Slice (21g),64.14,4.39,5.23,0.02
"Cheese, cheddar, reduced fat",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),53.67,4.62,3.87,0
"Cheese, cheddar, reduced fat, reduced salt",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),55.2,4.66,4.06,0.02
"Cheese, cheddar, reduced salt",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),65.28,3.9,5.6,0
"Cheese, cheedam",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),56.29,4.13,4.45,0.05
"Cheese, cheshire",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),61.82,3.87,5.2,0
"Cheese, colby",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),61.44,3.84,5.17,0.02
"Cheese, cottage",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),29.21,3.06,1.86,0.08
"Cheese, cottage, creamed",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),24.07,3.08,1.14,0.38
"Cheese, cottage, low fat",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),17.97,3.54,0.24,0.38
"Cheese, cotto",MILK AND MILK PRODUCTS,Cheeses,Wedge/Chunk (15g),31.76,4.16,1.68,0.02
"Cheese, cream",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),64.98,1.64,6.38,0.5
"Cheese, edam",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),55.85,4.4,4.29,0
"Cheese, fruit",MILK AND MILK PRODUCTS,Cheeses,Wedge/Chunk (22g),64.52,1.74,5.13,3.15
"Cheese, gloucester",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),64.82,4,5.49,0
"Cheese, gouda",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),60.44,4.18,4.9,0
"Cheese, haloumy",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),39.2,3.41,2.74,0.29
"Cheese, havarti",MILK AND MILK PRODUCTS,Cheeses,Wedge/Chunk (16g),64.65,3.1,5.87,0.02
"Cheese, mozzarella",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),61.44,5.2,4.5,0.14
"Cheese, mozzarella, reduced fat",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),57.56,6.34,3.58,0.02
"Cheese, nimbin",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),63.63,3.86,5.42,0
"Cheese, parmesan",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),88.38,7.62,6.54,0.02
"Cheese, pecorino",MILK AND MILK PRODUCTS,Cheeses,Slice (18g),63.99,5.04,4.9,0.04
"Cheese, pepato",MILK AND MILK PRODUCTS,Cheeses,Wedge/Chunk (20g),76.24,5.2,6.22,0.02
"Cheese, pizza",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),62.25,5.76,4.38,0.02
"Cheese, provolone",MILK AND MILK PRODUCTS,Cheeses,Slice (17g),61.98,4.73,4.83,0.02
"Cheese, quark",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),26.82,2.16,1.92,0.28
"Cheese, quark, low fat",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),15.45,2.78,0.22,0.58
"Cheese, raclette",MILK AND MILK PRODUCTS,Cheeses,Slice (16g),58.85,4,4.82,0
"Cheese, ricotta",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),29.45,2.1,2.26,0.24
"Cheese, ricotta, reduced fat",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),25.12,2.02,1.74,0.4
"Cheese, romano",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (10g),37.51,3.13,2.79,0.02
"Cheese, samsue",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),62.14,3.73,5.31,0
"Cheese, steppen",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),51.59,4.05,3.97,0.02
"Cheese, swiss",MILK AND MILK PRODUCTS,Cheeses,Slice (18g),68.75,5.15,5.4,0
"Cheese, tilsit",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),59.24,4.19,4.77,0.02
Commercial thick milkshake,MILK AND MILK PRODUCTS,Ice creams,Cup (214g),193.85,6.21,6.85,28.25
"Cream cheese dip, flavoured",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (22g),53.05,1.01,4.75,1.83
Cream cheese powder,MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),140.2,2.78,13.26,2.32
"Cream, pure",MILK AND MILK PRODUCTS,Cream,Cup (200g),661.72,4.6,71,3.6
"Cream, reduced fat, canned",MILK AND MILK PRODUCTS,Cream,Tablespoon (15g),0,0,0,0
"Cream, sour",MILK AND MILK PRODUCTS,Cream,Tablespoon (20g),74.28,0.46,7.94,0.58
"Cream, whipping",MILK AND MILK PRODUCTS,Cream,Tablespoon (3g),9.09,0.1,0.91,0.16
"Curd, cow's milk",MILK AND MILK PRODUCTS,Cream,Cup (225g),135,6.98,9,6.53
Frozen yoghurt,MILK AND MILK PRODUCTS,Yoghurts (yogurt drinks under 1102),Cup (150g),156,6.6,1.2,29.55
Full cream milk,MILK AND MILK PRODUCTS,Milks,Cup (256g),166.43,8.19,8.7,11.78
"Gelato, vanilla",MILK AND MILK PRODUCTS,Ice creams,Cup (100g),171,4.3,9.2,17.7
Ice cream,MILK AND MILK PRODUCTS,Ice creams,Scoop (60g),135.66,1.98,8.52,13.68
"Ice cream, chocolate",MILK AND MILK PRODUCTS,Ice creams,Cup (132g),285.12,5.02,14.52,37.22
"Ice cream, green tea",MILK AND MILK PRODUCTS,Ice creams,Scoop (50g),72,1.45,3.7,8.15
"Ice cream, vanilla",MILK AND MILK PRODUCTS,Ice creams,Scoop (50g),113.5,21.5,6.65,11.3
"Ice cream, vanilla, W/ chocolate coating",MILK AND MILK PRODUCTS,Ice creams,Whole (148g),488.55,6.22,35.67,35.67
"Ice cream, with chocolate chips",MILK AND MILK PRODUCTS,Ice creams,Scoop (50g),95,1.4,5,11.05
"Ice cream, with nuts",MILK AND MILK PRODUCTS,Ice creams,Scoop (50g),115.5,1.75,7.25,10.85
Ice lolly,MILK AND MILK PRODUCTS,Ice creams,Stick (80g),53.54,0.24,0.08,13.68
"Ice milk, vanilla",MILK AND MILK PRODUCTS,Ice creams,Scoop (45g),78.19,1.85,4.14,8.96
Low fat chocolate milk,MILK AND MILK PRODUCTS,Milks,Cup (266g),204.82,11.7,3.72,30.86
Low fat milk fortified with protein,MILK AND MILK PRODUCTS,Milks,Cup (260g),139.82,10.66,4.68,14.56
"Low fat milk, concentrated calcium",MILK AND MILK PRODUCTS,Milks,Packet (125g),77.5,4,1.88,11.38
"Milk, filled",MILK AND MILK PRODUCTS,Milks,Can (525g),1786.81,45.68,49.35,287.7
"Milk, filled, sweetened, condensed, canned",MILK AND MILK PRODUCTS,Milks,Can (525g),1800.61,22.63,62.48,264.6
"Milk, fluid, UHT, commercial",MILK AND MILK PRODUCTS,Milks,Cup (250g),160.88,8.75,9.25,11.25
"Milk, goat, fluid, whole",MILK AND MILK PRODUCTS,Milks,Cup (258g),1035.45,72.76,13.42,156.35
"Milk, malted drink, packet",MILK AND MILK PRODUCTS,Milks,Cup (400g),389.1,8,31.2,18.8
"Milk, malted, powder",MILK AND MILK PRODUCTS,Milks,Tablespoon (11g),43.46,1.4,0.76,7.74
"Milk, powder, goat, whole",MILK AND MILK PRODUCTS,Milks,Tablespoon (8g),39.28,2.18,2.17,2.92
"Milk, powder, whole, instant",MILK AND MILK PRODUCTS,Milks,Tablespoon (7g),34.51,1.9,1.86,2.54
"Milk, reduced fat, evaporated, canned",MILK AND MILK PRODUCTS,Milks,Cup (265g),242.18,20.94,5.57,28.09
"Milk, skimmed, evaporated, canned",MILK AND MILK PRODUCTS,Milks,Cup (268g),201.96,20.64,1.07,28.14
"Milk, skimmed, sweetened, condensed",MILK AND MILK PRODUCTS,Milks,Cup (335g),917.63,33.5,0.67,202.01
"Milk, whole",MILK AND MILK PRODUCTS,Milks,Cup (200g),128,6.4,7.4,9
"Milk, whole, evaporated, canned",MILK AND MILK PRODUCTS,Milks,One quarter (100g),141.15,7.6,8.1,9.9
"Milk, whole, sweetened, condensed, canned",MILK AND MILK PRODUCTS,Milks,Cup (325g),1088.25,28.6,28.93,178.43
Natural yoghurt,MILK AND MILK PRODUCTS,Yoghurts (yogurt drinks under 1102),Cup (150g),108.99,7.05,5.1,7.05
"Original yoghurt, small, no topping",MILK AND MILK PRODUCTS,Yoghurts (yogurt drinks under 1102),Cup (159g),162.18,5.25,2.43,29.89
Skimmed milk,MILK AND MILK PRODUCTS,Milks,Cup (259g),87.98,9.32,0.26,12.43
UHT chocolate milk,MILK AND MILK PRODUCTS,Milks,Cup (264g),195.36,8.71,5.02,29.3
UHT milk,MILK AND MILK PRODUCTS,Milks,Cup (256g),183.56,8.96,8.7,18.18
Wafer ice cream,MILK AND MILK PRODUCTS,Ice creams,1 portion (110g),383.32,11.11,0.77,86.68
"Yoghurt drink, low fat, mixed fruit",MILK AND MILK PRODUCTS,Yoghurts (yogurt drinks under 1102),Cup (200g),142,3.8,1.2,29.2
"Yoghurt, fruit variety, nonfat",MILK AND MILK PRODUCTS,Yoghurts (yogurt drinks under 1102),Cup (245g),232.75,10.78,0.49,46.55
"Black bean, preserved","NUTS AND SEEDS, PULSES AND PRODUCTS",Seeds and products,Sachet (25g),66.75,7.2,,2.25
Coconut cream,"NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Tablespoon (16g),117.28,0.03,35.54,4.46
"Coconut flesh, old","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (103g),367.71,7,2.55,4.84
"Coconut flesh, young","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (170g),64.6,1.87,67.35,8.5
"Coconut milk, fluid","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (238g),661.64,6.66,8.82,6.9
"Coconut milk, low fat","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (60g),94.8,1.02,41.77,2.82
"Coconut milk, powder, instant","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Packet (60g),431.46,6.04,48.83,7.84
"Coconut, grated and desiccated","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (75g),497.37,4.73,,5.48
"Lentils, dhal, yellow","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Cup (191g),639.85,36.67,110.49,121.09
Macadamia nut,"NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (145g),1064.26,11.02,0.49,6.53
"Noodles, soya bean","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Cup (98g),343,12.25,72.42,72.42
"Nuts, almonds","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (143g),826.54,30.4,73.4,28.23
"Nuts, almonds, blanched","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (145g),842.45,31.81,88.35,28.91
"Nuts, almonds, dry roasted, with salt added","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (138g),821.1,28.98,88.35,14.21
"Nuts, brazil nuts, dried, unblanched","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (133g),872.48,19.05,7.1,16.32
"Nuts, candlenut","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Whole (11.4g),76.15,2.07,63.5,0.97
"Nuts, cashew nuts, dry roasted, without salt added","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (137g),786.38,20.97,61.62,40.68
"Nuts, cashew nuts, oil roasted, with salt added","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (129g),749.49,21.72,0.31,38.91
"Nuts, chestnut, Chinese","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Whole (9g),20.43,0.4,4.34,4.03
"Nuts, chestnuts, Chinese, dried","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (240g),871.2,16.37,2.85,191.42
"Nuts, chestnuts, Chinese, roasted","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (239.4g),572.17,10.73,0.27,125.35
"Nuts, gingko nuts, boiled","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Piece (21g),34.63,0.9,85.05,7.41
"Nuts, hazelnuts","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (140g),879.2,20.93,79.99,23.38
"Nuts, mixed nuts, oil roasted, with peanuts, with salt added","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (142g),876.14,23.8,82.15,30.4
"Nuts, peanut, salted, dry roasted","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (155g),965.65,38.75,28,17.83
"Nuts, peanut, with shell, dry roasted","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,1 portion (56g),334.32,16.24,75.6,4.76
"Nuts, peanuts, all types, oil-roasted, with salt","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (144g),862.56,40.36,65.57,21.97
"Nuts, peanuts, all types, oil-roasted, without salt","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (133g),772.73,35.05,0.31,25.16
"Nuts, pistachio nuts, dry roasted, with salt added","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Whole (small) (.7g),3.95,0.15,58.84,0.13
"Nuts, pistachio nuts, dry roasted, without salt added","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (128g),730.88,27.33,12.1,35.39
Peanut butter,"NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Tablespoon (25g),150,6.53,13.18,3.8
"Peanut butter, sweetened, unsalted","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Tablespoon (25g),160.11,6.28,13.18,3.78
"Peanut butter, unsalted, unsweetened","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Tablespoon (25g),159.15,6.28,79.09,3.53
Pecan nut,"NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (110g),782.36,10.78,1.95,5.39
"Popcorn, regular, commercial","NUTS AND SEEDS, PULSES AND PRODUCTS",Seeds and products,Cup (8g),37.6,0.73,0.05,3.97
"Seeds, jackfruit (cempedak)","NUTS AND SEEDS, PULSES AND PRODUCTS",Seeds and products,Whole (8.4g),13.69,0.55,0.06,2.76
"Seeds, jackfruit (nangka)","NUTS AND SEEDS, PULSES AND PRODUCTS",Seeds and products,Whole (11.2g),15.57,0.53,0.64,3.24
"Seeds, lotus seed, dried","NUTS AND SEEDS, PULSES AND PRODUCTS",Seeds and products,Cup (32g),110.08,5.5,51.19,20.54
"Seeds, melon seed, flesh only","NUTS AND SEEDS, PULSES AND PRODUCTS",Seeds and products,Cup (108g),601.56,30.56,3.66,16.52
"Seeds, poppy, white","NUTS AND SEEDS, PULSES AND PRODUCTS",Seeds and products,Tablespoon (8.8g),46.2,1.58,66.38,2.48
"Seeds, sesame seed, black","NUTS AND SEEDS, PULSES AND PRODUCTS",Seeds and products,Cup (144g),764.64,27.5,60.76,14.4
"Seeds, sesame seed, white","NUTS AND SEEDS, PULSES AND PRODUCTS",Seeds and products,Cup (140g),750.4,25.76,43.1,25.2
"Seeds, watermelon seed, dried, black","NUTS AND SEEDS, PULSES AND PRODUCTS",Seeds and products,Cup (100g),530,21.2,13.98,14.2
"Soy bean curd, fried","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Piece (92g),202.4,15.64,5.03,3.4
Soya bean cake,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Whole (107g),109.14,11.66,5.03,4.28
"Soya bean cake, fermented","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Piece (71g),112.18,11.29,3.22,3.98
"Soya bean curd, less sweet","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Bowl-dessert (15 cm) (537g),263.13,12.35,7.36,45.65
"Soya bean curd, sheet, dried, unsweetened","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Sheet (28g),136.92,15.85,2.33,1.82
"Soya bean curd, strand, dried","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Strand/Strips (15g),62.1,6.66,1.03,3.62
"Soya bean paste, fermented","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Tablespoon (19g),27.74,1.84,6.08,2.79
"Soya bean, sheet, dried, sweetened","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Piece (28g),128.52,1.84,6.12,5.96
Sunflower seed,"NUTS AND SEEDS, PULSES AND PRODUCTS",Seeds and products,Tablespoon (12g),68.76,2.72,9.71,0.26
Tahini,"NUTS AND SEEDS, PULSES AND PRODUCTS",Seeds and products,Tablespoon (16g),104,3.26,3.86,0.16
Tau pok,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Piece (15g),53.25,3.8,0.01,0.84
Textured Vegetable protein,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Gram (1g),3.56,0.52,5.62,0.19
Tofu,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Piece (152g),123.15,12.31,,5.78
Acai bowl,"SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Bowl-soup (16 and 1/2 cm) (347g),374.76,7.98,13.91,54.13
Almond paste,"SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Bowl-dessert (15 cm) (262g),214.84,5.5,11.27,23.06
Chocolate tart,"SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Piece (90g),388.8,6.84,26.57,30.51
Glass jelly with sugar syrup,"SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Bowl-dessert (15 cm) (439g),136.09,0,0.22,33.8
Glass jelly without sugar syrup,"SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Bowl-dessert (15 cm) (400g),16,0,0.12,4
"Ice kacang, less sweet","SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Bowl-dessert (15 cm) (400g),172,4.8,1.2,35.6
Ice kachang,"SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Bowl-dessert (15 cm) (406g),255.78,5.68,1.62,54.81
"Meringue, commerial","SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Cylindrical Piece/Tube (25g),91.99,0.65,0.35,22.53
Parfait,"SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Cup (345g),376.05,8.63,10.38,62.45
"Puddings, lemon, dry mix, instant","SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",1 portion (25g),94.5,0,0.18,23.85
Vanilla custard,"SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Cup (280g),249.62,12.6,2.52,44.24
Aloe vera,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Slice (100g),3.5,0,0.25,0.87
"Bamboo shoots, braised, canned, drained",VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",Piece (5.8g),3.77,0.09,0.28,0.28
"Broccoli, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Half Cup (79.8g),22.34,2.38,1.9,4.04
"Cabbage, pekinese, dried",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",Cup (238g),680.89,14.76,0.27,151.13
"Cabbage, white, chinese, boiled, drained",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",Cup (170g),20.4,2.65,4.37,3.03
Caesar salad,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",1 portion (213g),93.72,6.77,0.02,5.71
"Celery, Dehydrated",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Gram (1g),2.87,0.12,0.01,0.53
"Champignon, canned in brine, heated, drained",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Piece (10g),1.58,0.14,0.14,0.16
"Chilli, dried",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Whole (1.14g),2.42,0.17,0.96,0.13
"Corn, on cob, boiled, drained",VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",Cylindrical Piece/Tube (130g),120.9,4.04,0.03,29.03
Drumstick vegetable,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Stick (10g),4,0.51,0.39,0.41
"Fungus, white, dried",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Cup (28g),56,2.8,0.2,10.33
"Jew's ear, soaked",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Cup (99g),20.79,1.49,0.03,3.37
"Jew's ears, dried",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Cup (26g),57.73,1.56,0.5,12.79
"Juice, carrot, canned",VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",Glass (250ml) (250g),98.59,2.38,0.52,23.25
"Kale, boiled, drained",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",Cup (130g),36.4,2.47,0.24,7.32
"Kangkong, boiled, drained",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",Cup (98g),19.6,2.04,0.03,3.64
"Leek, flake, dehydrated",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Gram (1g),4.47,0.13,0.76,0.8
"Lily bud, dried",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Cup (54.44g),108.34,10.56,0.1,14.81
"Longbeans, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Legumes (eg fresh beans,peas in pods)",Cup (104g),48.88,2.63,0.08,9.55
"Lotus root, boiled, drained",VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",Cup (120g),79.2,1.9,0.29,19.24
"Mixed vegetables, frozen",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Cup (145g),85.95,3.92,0.78,19
"Mushroom, boiled, drained",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Cup (156g),42.51,3.43,0,7.96
"Mushroom, button, canned",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Piece (12.3g),4.06,0.09,0.11,0.92
"Mushroom, chinese, dried",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Whole (2.44g),6.15,0.51,0,0.77
"Mustard cabbage, leaf and stem, highland pickled",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",Cup (165g),23.1,1.65,0,4.29
"Mustard cabbage, leaf and stem, lowland pickled",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",Stalk (274g),81.86,5.21,0.16,15.62
"Mustard green, stem, pickled, canned",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",Piece (32g),25.77,0.26,0.88,5.6
"Peas, green, canned, drained",VEGETABLE AND VEGETABLE PRODUCTS,"Legumes (eg fresh beans,peas in pods)",Cup (175g),128.52,9.45,2.16,14.88
Petai,VEGETABLE AND VEGETABLE PRODUCTS,"Legumes (eg fresh beans,peas in pods)",Cup (120g),148.8,12,6.77,20.28
"Potato, mashed, fast food",VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",Cup (240g),213.6,3.96,0.2,32.04
"Potato, old, baked, flesh and skin",VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",Whole (202g),220.15,4.65,0.16,50.9
"Potato, old, boiled in unsalted water, flesh only",VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",Cup (156g),134.16,2.65,0.14,31.2
"Potato, without skin, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",Whole (135g),116.1,2.31,0.42,27.01
"Potatoes, french fried, salt added in processing, frozen, as purchased.",VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",Strand/Strips (9g),13.23,0.2,0.13,2.06
Preserved lettuce,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",Can (64g),42.88,1.28,63.34,9.28
"Pumpkin and squash seed kernals , dried",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Cup (138g),746.58,33.81,0.25,24.58
"Pumpkin, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Cup (245g),49,1.72,0.07,12.01
"Radish, Chinese, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",Slice (30.67g),5.21,0.21,5.37,1.05
"Salad with chicken and 4 vegetable toppings, no dressing",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",Bowl-soup (16 and 1/2 cm) (342g),177.84,23.26,4.52,8.89
"Salad with fish and 3 vegetable toppings, no dressing",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",Bowl-soup (16 and 1/2 cm) (272g),114.24,12.24,0.1,5.98
